text,sentence_id,is_replacement,replaced_index,replaced_str
delfiny,161,False,-1,
delfiny,162,True,10,kur
delfiny,163,False,-1,
delfiny,164,False,-1,
delfiny,165,False,-1,
delfiny,166,False,-1,
delfiny,167,True,1,drużyna
delfiny,168,False,-1,
delfiny,169,True,20,głos
delfiny,170,False,-1,
delfiny,171,False,-1,
delfiny,172,True,5,matki
delfiny,173,False,-1,
delfiny,174,True,8,wyjechać
delfiny,175,True,10,dłużej
delfiny,176,True,12,odpowiednich
delfiny,177,True,9,będzie
delfiny,178,True,17,czasem
delfiny,179,False,-1,
delfiny,180,False,-1,
delfiny,181,False,-1,
