text,sentence_id,is_replacement,replaced_index,replaced_str
maroko,78,False,-1,
maroko,79,True,9,starożytnych
maroko,80,True,1,czyli
maroko,81,False,-1,
maroko,82,False,-1,
maroko,83,True,13,nad
maroko,84,True,17,zimny
maroko,85,False,-1,
maroko,86,True,12,politykę
maroko,87,True,13,herbata
maroko,88,False,-1,
maroko,89,True,19,europejską
maroko,90,True,5,szczególnie
maroko,91,False,-1,
maroko,92,False,-1,
maroko,93,False,-1,
maroko,94,False,-1,
maroko,95,False,-1,
maroko,96,False,-1,
maroko,97,False,-1,
